,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
46,closed,2020-10-02 05:24:00,,517479.0,5,1444,Improvements on StatefulWriter,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1444,2020-10-08 05:08:39
47,closed,2020-10-01 17:30:18,,2895.0,1,1443,Fixed broken link to FastCDR Quality.md,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1443,2020-10-01 18:18:33
48,closed,2020-10-01 15:58:52,,421585.0,5,1442,Server periodic announcements [9490],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1442,2020-10-06 13:05:17
49,closed,2020-10-01 14:59:44,,318325.0,2,1441,Fixed RTPSWithRegistrationReader,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1441,2020-10-05 07:25:09
50,closed,2020-10-01 14:47:36,,404257.0,4,1440,Server dedicated thread for routine processing [9488],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1440,2020-10-06 07:05:13
51,closed,2020-10-01 08:01:26,,337554.0,24,1439,Ackfunctor and History refactoring [9443] ,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1439,2020-10-05 05:47:20
52,closed,2020-10-01 05:58:20,,450312.0,19,1438,Deprecate methods on History [9476],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1438,2020-10-06 11:03:32
53,closed,2020-09-30 12:40:34,,408095.0,1,1436,Clear changes to release [9483],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1436,2020-10-05 06:02:09
54,closed,2020-09-30 11:00:25,,1036.0,1,1435,Fix enable separate sending in subscriptions writer [9477],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1435,2020-09-30 11:17:41
55,closed,2020-09-30 10:00:30,,691555.0,7,1434,RTPS writer creation with custom payload pool [9473],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1434,2020-10-08 10:06:25
56,closed,2020-09-30 09:53:17,,70509.0,12,1433,Allow RTPS readers to be constructed with custom pools [9474],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1433,2020-10-01 05:28:26
57,closed,2020-09-30 09:24:36,,436307.0,6,1432,Server DATA(p) acked just checked when necessary [9472],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1432,2020-10-05 10:36:23
58,closed,2020-09-30 07:57:00,,439133.0,3,1431,Server is acked by default in DDB [9470],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1431,2020-10-05 09:55:53
59,closed,2020-09-30 06:16:13,,44026.0,5,1430,Bugfix: preprocess_secure_submsg should look both local and remote endpoints [9465],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1430,2020-09-30 18:29:59
60,closed,2020-09-29 10:55:52,,165690.0,2,1429,Fix bug CryptographyPluginTest [9438],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1429,2020-10-01 08:57:22
61,closed,2020-09-29 07:32:59,,165195.0,2,1428,Added unit tests for CacheChangePool + BasicPayloadPool [9436],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1428,2020-10-01 05:26:14
62,closed,2020-09-28 14:30:44,,8807.0,2,1427,Fixed SKIP_DEFAULT_XML_FILE on Windows.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1427,2020-09-28 16:57:31
63,closed,2020-09-28 10:55:04,,166723.0,29,1426,Allow RTPS writers to be constructed with custom pools [9432],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1426,2020-09-30 09:13:47
64,closed,2020-09-28 07:10:57,,1393.0,2,1425,Topic name as argument for the pub/sub in HelloWorldExampleDS,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1425,2020-09-28 07:34:10
65,closed,2020-09-28 05:34:48,,949783.0,25,1424,Feature/topic payload pool implementation [9310 & 9393] ,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1424,2020-10-09 05:24:31
