,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
104,,2021-07-08 15:45:55,[],939994383,875,closed,Fix check whether memcpy-based (de)ser is possible,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/875,,0,321289.0
105,,2021-07-07 12:49:04,[],938857796,874,open,idlc C code generation assumes default case is last,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/874,,0,
106,,2021-07-07 12:47:21,[],938856300,873,closed,Fix emitting of non-printable char cases in unions,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/873,,0,69788.0
107,,2021-07-07 12:47:00,[],938856005,872,closed,"Emit ""default"" flag if union has a default case",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/872,,0,69829.0
108,,2021-07-06 07:51:18,[],937617108,871,closed,Add the option to prematurely return a publisher loan using the already existing dds_return_loan function.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/871,,2,1389471.0
109,,2021-07-05 12:41:09,[],937052563,870,closed,Return actual length from `dds_get_name`/`dds_get_type_name`,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/870,,0,4497064.0
110,,2021-07-05 12:33:46,[],937047092,869,closed,"Make ""real"" built-in topic entities inaccessible",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/869,,0,1303648.0
111,,2021-07-05 07:36:40,[],936788383,868,closed,Interoperability between Cyclonedds and OpenSplice,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/868,,6,5018794.0
112,,2021-06-30 15:16:09,[],933819919,867,closed,"Default message ""using network interface..."" is printed as error",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/867,,1,4913631.0
113,,2021-06-30 11:46:34,[],933615558,866,closed,Do not list files in CMake add_library INTERFACE,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/866,,3,7871.0
114,,2021-06-30 10:44:23,[],933556302,865,closed,Fix assert(thread_is_asleep()) receiving short msg,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/865,,0,1719962.0
115,,2021-06-30 10:25:44,[],933541176,864,closed,Add missing dds_ prefix to is_loan_available,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/864,,0,1740055.0
116,,2021-06-29 18:18:17,[],932988472,863,closed,Support const expressions in idl_type_spec,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/863,,0,51032.0
117,,2021-06-28 12:24:28,[],931515624,862,closed,Backport fix for missing braces in mcpp,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/862,,0,1349.0
118,,2021-06-28 09:55:25,[],931389638,861,closed,Fix warn '[-Wmisleading-indentation]' in if statement,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/861,,0,10311.0
119,,2021-06-28 09:54:57,[],931389267,860,closed,Fix warn '[-Wmisleading-indentation]' in if statement,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/860,,0,8577.0
120,,2021-06-28 06:58:40,[],931238428,859,closed,Remove dead code from mcpp (CID 329677),https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/859,,0,2972.0
121,,2021-06-28 06:58:25,[],931238261,858,closed,List include files in CMakeLists.txt,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/858,,0,2978.0
122,,2021-06-25 13:33:36,[],930180000,857,closed,Simple renames,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/857,,0,4303.0
123,,2021-06-25 11:13:32,[],930079965,856,closed,Removed global shared memory mutex,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/856,,0,2111.0
124,,2021-06-25 07:23:50,[],929907422,855,closed,Use constants for security property names,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/855,,1,367986.0
125,,2021-06-24 14:35:42,[],929295868,854,closed,Fix include of symlinked files,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/854,,2,73326.0
126,,2021-06-24 12:24:27,[],929175069,853,closed,CRL support,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/853,,1,2282.0
127,,2021-06-23 17:33:13,[],928490299,852,closed,Fixes for the remaining Coverity issues,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/852,,0,50381.0
128,,2021-06-23 17:04:39,[],928468708,851,open,[question] why limit node name to 10 characters in interface warning?,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/851,,3,
129,,2021-06-23 07:48:38,[],927962310,850,closed,Update Cyclone DDS quality declaration,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/850,,0,30233.0
130,,2021-06-22 16:11:38,[],927411795,849,closed,Fix FreeRTOS+LwIP builds + one more coverity fix,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/849,,0,68847.0
131,,2021-06-22 13:43:29,[],927250504,848,closed,Fixes for some of the Coverity issues in the IDL compiler,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/848,,0,1643.0
132,,2021-06-22 10:58:02,[],927103870,847,open,Added QNX OS support,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/847,,8,
133,,2021-06-22 08:00:20,[],926945896,846,closed,Coverity fixes to Cyclone core,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/846,,0,2958.0
134,,2021-06-22 07:53:02,[],926939944,845,closed,Fix the behavior of preprocessor with include directory search list,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/845,,1,205454.0
135,,2021-06-22 07:45:30,[],926933852,844,closed,IDLC can't find nested IDLs when using include search list,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/844,,7,289674.0
136,,2021-06-22 02:26:09,[],926760511,843,closed,Cyclone DDS Package configuration file missing ,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/843,,2,195613.0
137,,2021-06-18 15:46:13,[],925023782,842,closed,Add support for building with mingw-w64,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/842,,10,6285484.0
138,,2021-06-18 03:00:51,[],924494880,841,closed,Installing Cyclone DDS Error ddsconf.h: No such file or directory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/841,,10,6331483.0
